﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2346-5_5_4_2,"(After the two finished arguing, they fell into an awkward silence... I think it's the best time to interrupt them now.)",(หลังจากทั้งสองคนโต้เถียงกันเสร็จ พวกเขาก็ตกอยู่ในความเงียบที่น่าอึดอัด... ข้าคิดว่านี่เป็นเวลาที่ดีที่สุดที่จะขัดจังหวะพวกเขา)
M2346-5_5_4_3,"(In case they start slapping each other, or slapping themselves, or hugging each other and crying later, as a bystander, that scene would be too awkward, and I don't know how long I would have to wait to interrupt.)"
M2346-5_5_4_4,Ahem!
M2346-5_5_4_5,"I came here to ask you, what are you planning to do next? And, do you have a more detailed plan for the Blood Rakshasa? For example, when does he plan to take action?"
M2346-5_5_4_6,The reason why Blood Rakshasa has not taken action yet is because he himself is not on this island.
M2346-5_5_4_7,"This ""Penglai Sect"" is not just one island, the internal strife has spread to another island. I just learned today that Blood Rakshasa has gone to suppress them."
M2346-5_5_4_8,"That island is Blood Rakshasa's logistics base and fallback plan in case of failure. If no one can handle it well, the plan for this Golden Basin Washing Hands Conference cannot be carried out."
M2346-5_5_4_9,"I plan to take my brothers to heal their wounds. When Blood Rakshasa comes, we will show up."
M2346-5_5_4_10,Where will you take action?
M2346-5_5_4_11,Of course in the main hall.
M2346-5_5_4_12,"I'm a Gambler, not a fool, I will choose the plan with the highest winning rate, there are many masters in the main hall, it's easier to blend in and win."
M2346-5_5_4_13,That's an honest choice.
M2346-5_5_4_14,"Let me remind you, if you are confident in your Martial Arts, there is a Martial Tomb next to it, where Blood Rakshasa recovers his strength and learns martial arts. There might be a way to restrain him there."
M2346-5_5_5_1,"This is my Heirloom Coin, I'm giving it to you as a big gift."
M2346-5_5_6_1,"I'll take my brothers to a safe place to gamble first, if I can win, we'll meet again in the main hall."
M2346-5_5_6_2,Don't drag me--
M2346-5_5_8_1,Are you Wang Bushu's brother?
M2346-5_5_8_2,"Cough, heh, well killed..."
M2346-5_5_8_3,"This man is treacherous and full of lies, he deserves to die--cough cough..."
M2346-5_5_8_4,Your injuries seem quite serious.
M2346-5_5_8_5,"If you encounter the same situation as me, you won't be any better off than me."
M2346-5_5_8_6,"I've lived my life recklessly, and I don't expect heroes like you to save me. Even if you save me, I'll end up being tortured in the Crime Investigation Bureau."
M2346-5_5_8_7,Listen! I won't repeat myself.
M2346-5_5_8_8,"The Penglai Sect you know is fake! The real Penglai Sect was wiped out by us! The last person of the Penglai Sect is Sect Leader Shen Yuqiu, who was dragged out a few shichen ago!"
M2346-5_5_8_9,"The Golden Basin Handwashing Ceremony is a plot by Blood Rakshasa against the Eight Saints! If you want to kill Blood Rakshasa, there might be a way to restrain him in the nearby mountain cave..."
M2346-5_5_8_10,You must... kill this thief. I will wait for him in the underworld...
M2346-5_5_8_11,"When a man is about to die, his words are good. This man's words are all to the point, he has explained everything that needs to be explained, there is no nonsense, it is a textbook of last words."
M2346-5_5_8_12,"You won't die in vain, I will transcribe your last words into a book and publish it to the world, so everyone can learn how to leave a last word. Oh, and of course, I won't forget to kill Blood Rakshasa."
M2346-5_5_9_1,"Sir, you are seriously injured, hang in there!"
M2346-5_5_9_2,No... don't save me.
M2346-5_5_9_3,"Tell me, Blood Rakshasa is your enemy, right?"
M2346-5_5_9_4,(Blood Rakshasa!... It seems this person knows a lot!)
M2346-5_5_9_5,"Hold on, I'll save you right now!"
M2346-5_5_9_6,"You tell me first, are you or are you not!"
M2346-5_5_9_7,"(He's stopping me from saving him, what on earth...)"
M2346-5_5_9_8,"Yes, I am here to stop the plot of Blood Rakshasa."
M2346-5_5_9_9,"Good, listen to me, I won't repeat myself."
M2346-5_5_9_10,"I used to be a henchman of Blood Rakshasa, living a reckless life, committing all kinds of evil deeds. If you save me, I'll end up being tortured in the Crime Investigation Bureau, don't mess with me."
M2346-5_5_9_11,"The Penglai Sect you know is fake! The real Penglai Sect was wiped out by us! The last person of the Penglai Sect is Sect Leader Shen Yuqiu, who was dragged out a few shichen ago!"
M2346-5_5_9_12,"The Golden Basin Handwashing Ceremony is a plot by Blood Rakshasa against the Eight Saints! If you want to kill Blood Rakshasa, there might be a way to restrain him in the nearby mountain cave..."
M2346-5_5_9_13,You must... kill this thief. I will wait for him in the underworld...
M2346-5_5_9_14,"When a man is about to die, his words are good. This man's words are all to the point, he has explained everything that needs to be explained, there is no nonsense, it is a textbook of last words."
